"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"54","$2023-07-21 06:25:23",7734057,7072715,10.2302039,2.8765,48.7541,24.17487,100.7,7.97,52.31328,4.97184,2023-07-21 06:25:23
"55","$2023-07-21 06:25:33",7729816,7069084,10.2248085,1.0276,48.12238,24.20157,100.7,7.97,52.3134,4.97243,2023-07-21 06:25:33
"56","$2023-07-21 06:25:35",7728721,7068314,10.2262259,4.1146,47.95911,24.2176,100.7,7.97,52.3134,4.97243,2023-07-21 06:25:35
"57","$2023-07-21 06:25:37",7728216,7067710,10.2271497,2.6905,47.89959,24.2443,100.4,7.97,52.3134,4.97243,2023-07-21 06:25:37
"58","$2023-07-21 06:25:39",7727418,7067070,10.2273691,0.6406,47.83856,24.27367,100.7,7.97,52.31338,4.97241,2023-07-21 06:25:39
"59","$2023-07-21 06:25:41",7726582,7066369,10.2275229,0.4538,47.75158,24.27367,100.4,7.97,52.31338,4.97241,2023-07-21 06:25:41
"60","$2023-07-21 06:25:49",7723248,7063407,10.2272928,0.3867,47.39605,24.27367,100.4,7.97,52.31327,4.97226,2023-07-21 06:25:49
"61","$2023-07-21 06:25:51",7722469,7062734,10.227567,0.8008,47.22515,24.32975,100.4,7.97,52.31327,4.97226,2023-07-21 06:25:51
"62","$2023-07-21 06:25:53",7721595,7061931,10.2278852,0.9283,47.18547,24.32975,100.4,7.97,52.31327,4.97226,2023-07-21 06:25:53
"63","$2023-07-21 06:25:55",7720805,7061196,10.2282476,1.0562,47.12444,24.3431,100.4,7.97,52.31327,4.97226,2023-07-21 06:25:55
"64","$2023-07-21 06:25:57",7719923,7060430,10.2286434,1.1644,47.0512,24.3431,100.4,7.97,52.31327,4.97226,2023-07-21 06:25:57
"65","$2023-07-21 06:25:59",7719142,7059732,10.2289736,0.9579,46.99779,24.3431,100.7,7.97,52.31297,4.97183,2023-07-21 06:25:59
"66","$2023-07-21 06:26:01",7718285,7058924,10.2292371,0.7698,47.01458,24.3698,100.4,7.97,52.31297,4.97183,2023-07-21 06:26:01
"67","$2023-07-21 06:26:03",7717474,7058143,10.2297533,1.5012,46.96117,24.35645,100.7,7.97,52.31297,4.97183,2023-07-21 06:26:03
"68","$2023-07-21 06:26:05",7716605,7057310,10.2305889,2.4254,46.99321,24.39918,100.7,7.97,52.31297,4.97183,2023-07-21 06:26:05
"69","$2023-07-21 06:26:07",7715845,7056548,10.2316439,3.0754,46.99321,24.39918,100.4,7.97,52.31297,4.97183,2023-07-21 06:26:07
"70","$2023-07-21 06:26:09",7715032,7055791,10.2327538,3.1854,46.99321,24.41253,100.4,7.97,52.31298,4.97183,2023-07-21 06:26:09
