"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"49","$2023-07-17 06:30:49",7112493,6742980,7.0056744,0.3317,38.17044,31.74793,100.4,8.08,51.92287,4.48107,2023-07-17 06:30:49
"50","$2023-07-17 06:30:57",7112812,6743268,7.0055041,0.1663,38.01175,31.70519,100.7,8.08,51.92292,4.48114,2023-07-17 06:30:57
"51","$2023-07-17 06:30:59",7112879,6743323,7.0055609,0.166,37.98428,31.72122,100.7,8.08,51.92292,4.48114,2023-07-17 06:30:59
"52","$2023-07-17 06:31:01",7112934,6743356,7.0055833,0.0655,37.98276,31.70519,100.7,8.08,51.92292,4.48113,2023-07-17 06:31:01
"53","$2023-07-17 06:31:03",7113014,6743413,7.0056291,0.1333,38.056,31.72122,100.4,8.08,51.92292,4.48113,2023-07-17 06:31:03
"54","$2023-07-17 06:31:05",7113091,6743505,7.0057311,0.2973,38.07126,31.73457,100.7,8.08,51.92292,4.48113,2023-07-17 06:31:05
"55","$2023-07-17 06:31:07",7113168,6743545,7.0057535,0.0659,38.12619,31.73457,100.4,8.08,51.92292,4.48113,2023-07-17 06:31:07
"56","$2023-07-17 06:31:09",7113245,6743609,7.0058446,0.2653,38.07126,31.73457,100.7,8.08,51.92292,4.48113,2023-07-17 06:31:09
"57","$2023-07-17 06:31:11",7113330,6743673,7.0059919,0.4281,38.0972,31.73457,100.7,8.08,51.92279,4.48104,2023-07-17 06:31:11
"58","$2023-07-17 06:31:13",7113409,6743735,7.006196,0.5925,38.08804,31.74793,100.7,8.08,51.92279,4.48104,2023-07-17 06:31:13
"59","$2023-07-17 06:31:15",7113504,6743814,7.0063438,0.4291,38.0148,31.73457,100.7,8.08,51.92279,4.48104,2023-07-17 06:31:15
"60","$2023-07-17 06:31:17",7113570,6743879,7.0064802,0.396,37.98428,31.72122,100.7,8.08,51.92279,4.48104,2023-07-17 06:31:17
"61","$2023-07-17 06:31:25",7113899,6744172,7.0062761,0.3954,37.92935,31.72122,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:25
"62","$2023-07-17 06:31:27",7113970,6744239,7.0064802,0.5944,37.91562,31.72122,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:27
"63","$2023-07-17 06:31:29",7114072,6744322,7.0065823,0.2962,37.90036,31.72122,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:29
"64","$2023-07-17 06:31:37",7114443,6744647,7.0065594,0.198,37.82864,31.72122,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:37
"65","$2023-07-17 06:31:39",7114500,6744682,7.0067978,0.6987,37.80118,31.70519,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:39
"66","$2023-07-17 06:31:41",7114578,6744759,7.0070024,0.5965,37.73098,31.72122,100.7,8.08,51.92272,4.48107,2023-07-17 06:31:41
"67","$2023-07-17 06:31:43",7114653,6744832,7.007093,0.2631,37.74167,31.69184,100.7,8.07,51.92251,4.48095,2023-07-17 06:31:43
"68","$2023-07-17 06:31:47",7114845,6744988,7.0071158,0.0984,37.73098,31.72122,100.7,8.07,51.92251,4.48095,2023-07-17 06:31:47
"69","$2023-07-17 06:31:49",7114917,6745030,7.0072179,0.2984,37.68673,31.70519,100.7,8.08,51.92251,4.48095,2023-07-17 06:31:49
"70","$2023-07-17 06:31:51",7115000,6745126,7.0073428,0.365,37.72793,31.69184,100.7,8.08,51.92251,4.48095,2023-07-17 06:31:51
"71","$2023-07-17 06:31:57",7115220,6745294,7.0073881,0.2642,37.78744,31.70519,100.7,8.08,51.92251,4.48097,2023-07-17 06:31:57
"72","$2023-07-17 06:31:59",7115292,6745363,7.0075583,0.4935,37.81338,31.70519,100.7,8.07,51.92251,4.48097,2023-07-17 06:31:59
"73","$2023-07-17 06:32:01",7115393,6745415,7.00774,0.5273,37.82712,31.70519,100.7,8.07,51.92251,4.48097,2023-07-17 06:32:01
"74","$2023-07-17 06:32:03",7115466,6745481,7.0079894,0.706,37.82407,31.67849,100.7,8.07,51.92265,4.481,2023-07-17 06:32:03
"75","$2023-07-17 06:32:05",7115569,6745533,7.008296,0.8924,37.86984,31.70519,100.7,8.07,51.92265,4.481,2023-07-17 06:32:05
